Age,height
22.00,75.00
35.00,70.00
38.00,68.00
23.00,71.00
29.00,66.00
29.00,67.00
32.00,65.00
31.00,65.00
24.00,67.00
37.00,65.00
35.00,70.00
28.00,72.00
24.00,72.00
30.00,66.00
29.00,62.00
39.00,65.00
33.00,70.00
26.00,64.00
31.00,71.00
33.00,72.00
27.00,67.00
22.00,67.00
30.00,69.00
30.00,71.00
33.00,73.00
28.00,70.00
22.00,72.00
22.00,67.00
30.00,74.00
32.00,68.00
27.00,64.00
27.00,72.00
38.00,67.00
20.00,60.00
27.00,69.00
26.00,69.00
32.00,69.00
25.00,69.00
27.00,63.00
35.00,74.00
30.00,76.00
35.00,72.00
30.00,75.00
40.00,71.00
29.00,66.00
27.00,69.00
27.00,73.00
28.00,70.00
31.00,67.00
26.00,66.00
33.00,66.00
38.00,65.00
31.00,69.00
36.00,69.00
33.00,69.00
33.00,70.00
26.00,71.00
21.00,72.00
22.00,70.00
31.00,71.00
31.00,67.00
35.00,75.00
31.00,70.00
28.00,67.00
28.00,72.00
29.00,68.00
22.00,65.00
30.00,66.00
31.00,69.00
29.00,76.00
25.00,62.00
33.00,67.00
35.00,73.00
31.00,61.00
28.00,72.00
29.00,67.00
26.00,72.00
25.00,65.00
34.00,67.00
21.00,71.00
28.00,67.00
31.00,69.00
34.00,69.00
32.00,64.00
30.00,73.00
28.00,68.00
40.00,66.00
27.00,61.00
43.00,71.00
37.00,64.00
24.00,74.00
29.00,74.00
29.00,67.00
28.00,69.00
29.00,67.00
25.00,78.00
34.00,75.00
39.00,70.00
31.00,66.00
46.00,72.00
38.00,71.00
30.00,68.00
41.00,69.00
39.00,70.00
31.00,63.00
42.00,65.00
45.00,64.00
21.00,72.00
28.00,64.00
29.00,66.00
36.00,68.00
28.00,71.00
24.00,74.00
23.00,66.00
36.00,70.00
35.00,72.00
18.00,68.00
55.00,67.00
21.00,65.00
28.00,66.00
24.00,71.00
50.00,75.00
23.00,66.00
21.00,70.00
27.00,62.00
27.00,68.00
43.00,73.00
27.00,68.00
26.00,71.00
26.00,66.00
30.00,69.00
32.00,68.00
43.00,68.00
39.00,68.00
22.00,68.00
33.00,67.00
24.00,75.00
50.00,73.00
32.00,67.00
23.00,73.00
32.00,62.00
59.00,73.00
36.00,73.00
29.00,74.00
39.00,63.00
24.00,67.00
28.00,70.00
50.00,66.00
32.00,64.00
41.00,67.00
50.00,63.00
44.00,68.00
48.00,68.00
24.00,75.00
26.00,73.00
29.00,61.00
40.00,62.00
29.00,68.00
54.00,69.00
20.00,63.00
51.00,62.00
33.00,66.00
28.00,66.00
37.00,66.00
20.00,72.00
30.00,74.00
36.00,72.00
26.00,63.00
26.00,68.00
33.00,66.00
20.00,66.00
31.00,70.00
62.00,73.00
33.00,63.00
22.00,69.00
46.00,66.00
27.00,68.00
29.00,72.00
36.00,68.00
25.00,71.00
32.00,69.00
21.00,66.00
27.00,68.00
38.00,70.00
27.00,74.00
44.00,63.00
52.00,66.00
33.00,60.00
28.00,67.00
37.00,79.00
28.00,61.00
32.00,69.00
29.00,69.00
31.00,67.00
42.00,71.00
32.00,63.00
28.00,67.00
38.00,63.00
27.00,64.00
19.00,62.00
27.00,65.00
28.00,67.00
29.00,66.00
31.00,63.00
27.00,63.00
43.00,69.00
43.00,71.00
24.00,69.00
34.00,67.00
30.00,66.00
59.00,62.00
33.00,72.00
41.00,69.00
58.00,69.00
24.00,59.00
39.00,74.00
33.00,70.00
43.00,65.00
29.00,70.00
28.00,66.00
21.00,70.00
35.00,64.00
32.00,69.00
42.00,63.00
23.00,62.00
30.00,68.00
27.00,71.00
41.00,71.00
33.00,69.00
58.00,70.00
26.00,72.00
50.00,66.00
45.00,65.00
66.00,65.00
33.00,68.00
32.00,68.00
53.00,62.00
28.00,72.00
22.00,63.00
19.00,73.00
35.00,67.00
51.00,65.00
30.00,69.00
29.00,80.00
32.00,61.00
45.00,63.00
28.00,73.00
36.00,63.00
40.00,71.00
34.00,62.00
24.00,68.00
39.00,72.00
33.00,65.00
26.00,67.00
36.00,67.00
46.00,68.00
21.00,67.00
63.00,67.00
30.00,62.00
50.00,63.00
50.00,64.00
34.00,72.00
40.00,62.00
46.00,66.00
41.00,67.00
29.00,62.00
53.00,69.00
39.00,69.00
39.00,64.00
24.00,62.00
26.00,70.00
25.00,64.00
59.00,63.00
28.00,67.00
29.00,68.00
35.00,67.00
25.00,65.00
36.00,67.00
42.00,64.00
25.00,71.00
27.00,80.00
45.00,60.00
37.00,71.00
47.00,69.00
24.00,67.00
53.00,64.00
26.00,62.00
49.00,63.00
24.00,61.00
19.00,69.00
26.00,76.00
30.00,70.00
26.00,72.00
36.00,63.00
24.00,69.00
47.00,72.00
51.00,70.00
28.00,73.00
48.00,62.00
37.00,62.00
47.00,72.00
34.00,66.00
37.00,65.00
25.00,70.00
32.00,71.00
42.00,71.00
33.00,64.00
34.00,63.00
42.00,75.00
29.00,70.00
55.00,73.00
32.00,68.00
25.00,69.00
31.00,64.00
45.00,68.00
39.00,68.00
50.00,74.00
29.00,61.00
50.00,66.00
43.00,62.00
63.00,67.00
35.00,72.00
19.00,67.00
62.00,64.00
44.00,68.00
30.00,63.00
24.00,69.00
40.00,68.00
63.00,65.00
45.00,66.00
53.00,62.00
36.00,72.00
22.00,70.00
19.00,69.00
32.00,64.00
61.00,63.00
20.00,60.00
34.00,65.00
34.00,67.00
36.00,72.00
29.00,71.00
30.00,73.00
40.00,68.00
28.00,62.00
20.00,69.00
40.00,71.00
43.00,66.00
19.00,72.00
60.00,68.00
66.00,73.00
39.00,67.00
28.00,75.00
34.00,74.00
32.00,74.00
34.00,68.00
29.00,64.00
26.00,75.00
43.00,63.00
44.00,65.00
32.00,72.00
37.00,68.00
30.00,69.00
26.00,73.00
23.00,70.00
31.00,69.00
34.00,73.00
48.00,69.00
35.00,71.00
25.00,73.00
27.00,63.00
27.00,67.00
22.00,64.00
35.00,71.00
26.00,72.00
32.00,74.00
32.00,72.00
23.00,71.00
40.00,64.00
47.00,66.00
31.00,74.00
30.00,68.00
25.00,70.00
33.00,68.00
54.00,76.00
30.00,72.00
45.00,70.00
30.00,67.00
49.00,64.00
32.00,68.00
24.00,66.00
57.00,69.00
41.00,72.00
37.00,61.00
35.00,74.00
40.00,64.00
50.00,66.00
40.00,73.00
37.00,76.00
60.00,71.00
47.00,69.00
29.00,71.00
29.00,71.00
22.00,91.00
44.00,74.00
57.00,62.00
43.00,67.00
20.00,62.00
29.00,71.00
30.00,70.00
25.00,72.00
39.00,72.00
41.00,64.00
30.00,72.00
23.00,68.00
49.00,68.00
59.00,71.00
39.00,66.00
38.00,67.00
59.00,68.00
26.00,61.00
33.00,73.00
46.00,71.00
36.00,71.00
40.00,64.00
29.00,72.00
30.00,67.00
30.00,65.00
33.00,74.00
29.00,68.00
23.00,61.00
33.00,71.00
28.00,67.00
31.00,65.00
29.00,79.00
44.00,61.00
28.00,66.00
47.00,76.00
24.00,69.00
28.00,70.00
40.00,65.00
24.00,72.00
20.00,71.00
39.00,71.00
52.00,62.00
39.00,70.00
33.00,72.00
26.00,70.00
31.00,69.00
27.00,71.00
60.00,70.00
52.00,65.00
42.00,64.00
31.00,68.00
38.00,68.00
26.00,67.00
32.00,64.00
40.00,72.00
32.00,61.00
31.00,64.00
32.00,72.00
22.00,64.00
37.00,70.00
33.00,63.00
44.00,72.00
18.00,66.00
38.00,65.00
23.00,64.00
33.00,65.00
24.00,64.00
32.00,64.00
27.00,63.00
39.00,63.00
47.00,66.00
33.00,70.00
38.00,70.00
42.00,67.00
42.00,70.00
21.00,68.00
35.00,73.00
38.00,64.00
34.00,64.00
27.00,71.00
29.00,71.00
27.00,62.00
23.00,67.00
33.00,67.00
25.00,70.00
31.00,66.00
24.00,72.00
49.00,70.00
23.00,72.00
23.00,66.00
22.00,63.00
48.00,70.00
27.00,71.00
