age,height
22,75
35,70
38,68
23,71
29,66
29,67
32,65
31,65
24,67
37,65
35,70
28,72
24,72
30,66
29,62
39,65
33,70
26,64
31,71
33,72
27,67
22,67
30,69
30,71
33,73
28,70
22,72
22,67
30,74
32,68
27,64
27,72
38,67
20,60
27,69
26,69
32,69
25,69
27,63
35,74
30,76
35,72
30,75
40,71
29,66
27,69
27,73
28,70
31,67
26,66
33,66
38,65
31,69
36,69
33,69
33,70
26,71
21,72
22,70
31,71
31,67
35,75
31,70
28,67
28,72
29,68
22,65
30,66
31,69
29,76
25,62
33,67
35,73
31,61
28,72
29,67
26,72
25,65
34,67
21,71
28,67
31,69
34,69
32,64
30,73
28,68
40,66
27,61
43,71
37,64
24,74
29,74
29,67
28,69
29,67
25,78
34,75
39,70
31,66
46,72
38,71
30,68
41,69
39,70
31,63
42,65
45,64
21,72
28,64
29,66
36,68
28,71
24,74
23,66
36,70
35,72
18,68
55,67
21,65
28,66
24,71
50,75
23,66
21,70
27,62
27,68
43,73
27,68
26,71
26,66
30,69
32,68
43,68
39,68
22,68
33,67
24,75
50,73
32,67
23,73
32,62
59,73
36,73
29,74
39,63
24,67
28,70
50,66
32,64
41,67
50,63
44,68
48,68
24,75
26,73
29,61
40,62
29,68
54,69
20,63
51,62
33,66
28,66
37,66
20,72
30,74
36,72
26,63
26,68
33,66
20,66
31,70
62,73
33,63
22,69
46,66
27,68
29,72
36,68
25,71
32,69
21,66
27,68
38,70
27,74
44,63
52,66
33,60
28,67
37,79
28,61
32,69
29,69
31,67
42,71
32,63
28,67
38,63
27,64
19,62
27,65
28,67
29,66
31,63
27,63
43,69
43,71
24,69
34,67
30,66
59,62
33,72
41,69
58,69
24,59
39,74
33,70
43,65
29,70
28,66
21,70
35,64
32,69
42,63
23,62
30,68
27,71
41,71
33,69
58,70
26,72
50,66
45,65
66,65
33,68
32,68
53,62
28,72
22,63
19,73
35,67
51,65
30,69
29,80
32,61
45,63
28,73
36,63
40,71
34,62
24,68
39,72
33,65
26,67
36,67
46,68
21,67
63,67
30,62
50,63
50,64
34,72
40,62
46,66
41,67
29,62
53,69
39,69
39,64
24,62
26,70
25,64
59,63
28,67
29,68
35,67
25,65
36,67
42,64
25,71
27,80
45,60
37,71
47,69
24,67
53,64
26,62
49,63
24,61
19,69
26,76
30,70
26,72
36,63
24,69
47,72
51,70
28,73
48,62
37,62
47,72
34,66
37,65
25,70
32,71
42,71
33,64
34,63
42,75
29,70
55,73
32,68
25,69
31,64
45,68
39,68
50,74
29,61
50,66
43,62
63,67
35,72
19,67
62,64
44,68
30,63
24,69
40,68
63,65
45,66
53,62
36,72
22,70
19,69
32,64
61,63
20,60
34,65
34,67
36,72
29,71
30,73
40,68
28,62
20,69
40,71
43,66
19,72
60,68
66,73
39,67
28,75
34,74
32,74
34,68
29,64
26,75
43,63
44,65
32,72
37,68
30,69
26,73
23,70
31,69
34,73
48,69
35,71
25,73
27,63
27,67
22,64
35,71
26,72
32,74
32,72
23,71
40,64
47,66
31,74
30,68
25,70
33,68
54,76
30,72
45,70
30,67
49,64
32,68
24,66
57,69
41,72
37,61
35,74
40,64
50,66
40,73
37,76
60,71
47,69
29,71
29,71
22,91
44,74
57,62
43,67
20,62
29,71
30,70
25,72
39,72
41,64
30,72
23,68
49,68
59,71
39,66
38,67
59,68
26,61
33,73
46,71
36,71
40,64
29,72
30,67
30,65
33,74
29,68
23,61
33,71
28,67
31,65
29,79
44,61
28,66
47,76
24,69
28,70
40,65
24,72
20,71
39,71
52,62
39,70
33,72
26,70
31,69
27,71
60,70
52,65
42,64
31,68
38,68
26,67
32,64
40,72
32,61
31,64
32,72
22,64
37,70
33,63
44,72
18,66
38,65
23,64
33,65
24,64
32,64
27,63
39,63
47,66
33,70
38,70
